cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
128	2	8704	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
129	2	16896	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
130	2	33280	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
131	2	66048	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
132	2	3072	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
133	2	5120	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
134	2	9216	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
135	2	17408	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
136	2	33792	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
137	2	66560	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
138	2	6144	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
139	2	10240	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
140	2	18432	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
141	2	34816	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
142	2	67584	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
143	2	12288	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
144	2	20480	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
145	2	36864	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
146	2	69632	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
147	2	24576	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
148	2	40960	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
149	2	73728	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
150	2	49152	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
151	2	81920	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
152	2	98304	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
153	3	7	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
154	3	11	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
155	3	19	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
156	3	35	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
157	3	67	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
158	3	131	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
159	3	259	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
160	3	515	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
161	3	1027	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
162	3	2051	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
163	3	4099	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
164	3	8195	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
165	3	16387	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
166	3	32771	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
167	3	65539	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
168	3	13	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
169	3	21	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
170	3	37	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
171	3	69	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
172	3	133	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
173	3	261	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
174	3	517	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
175	3	1029	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
176	3	2053	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
177	3	4101	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
178	3	8197	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
179	3	16389	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
180	3	32773	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
181	3	65541	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
182	3	25	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
183	3	41	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
184	3	73	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
185	3	137	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
186	3	265	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
187	3	521	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
188	3	1033	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
189	3	2057	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
190	3	4105	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
191	3	8201	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
192	3	16393	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
193	3	32777	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
194	3	65545	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
195	3	49	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
196	3	81	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
197	3	145	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
198	3	273	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
199	3	529	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
200	3	1041	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
201	3	2065	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
202	3	4113	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
203	3	8209	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
